"index";"date";"time";"A";"B";"All"
"299";2019-10-23;10;"2019-10-23 10:00:00.000";370;23
"300";2019-10-23;11;"2019-10-23 11:00:00.000";370;36
"301";2019-10-23;12;"2019-10-23 12:00:00.000";370;33
"302";2019-10-23;13;"2019-10-23 13:00:00.000";370;31
"303";2019-10-23;14;"2019-10-23 14:00:00.000";370;32
"304";2019-10-23;15;"2019-10-23 15:00:00.000";370;30
"305";2019-10-23;16;"2019-10-23 16:00:00.000";370;37
"306";2019-10-23;17;"2019-10-23 17:00:00.000";370;29
"307";2019-10-23;18;"2019-10-23 18:00:00.000";370;36
"308";2019-10-23;19;"2019-10-23 19:00:00.000";370;20
"309";2019-10-23;20;NA;NA;NA
"310";2019-10-23;21;NA;NA;NA
"311";2019-10-23;22;NA;NA;NA
"312";2019-10-23;23;NA;NA;NA
"313";2019-10-24;0;NA;NA;NA
"314";2019-10-24;1;NA;NA;NA
"315";2019-10-24;2;NA;NA;NA
"316";2019-10-24;3;NA;NA;NA
"317";2019-10-24;4;NA;NA;NA
"318";2019-10-24;5;NA;NA;NA
"319";2019-10-24;6;NA;NA;NA
"320";2019-10-24;7;NA;NA;NA
"321";2019-10-24;8;NA;NA;NA
"322";2019-10-24;9;NA;NA;NA
"323";2019-10-24;10;"2019-10-24 10:00:00.000";370;35
"324";2019-10-24;11;"2019-10-24 11:00:00.000";370;23
"325";2019-10-24;12;"2019-10-24 12:00:00.000";370;16
"326";2019-10-24;13;"2019-10-24 13:00:00.000";370;20
"327";2019-10-24;14;"2019-10-24 14:00:00.000";370;14
"328";2019-10-24;15;"2019-10-24 15:00:00.000";370;22
"329";2019-10-24;16;"2019-10-24 16:00:00.000";370;21
"330";2019-10-24;17;"2019-10-24 17:00:00.000";370;17
"331";2019-10-24;18;"2019-10-24 18:00:00.000";370;18
"332";2019-10-24;19;"2019-10-24 19:00:00.000";370;26
"333";2019-10-24;20;NA;NA;NA
"334";2019-10-24;21;NA;NA;NA
"335";2019-10-24;22;NA;NA;NA
"336";2019-10-24;23;NA;NA;NA
"337";2019-10-25;0;NA;NA;NA
"338";2019-10-25;1;NA;NA;NA
"339";2019-10-25;2;NA;NA;NA
"340";2019-10-25;3;NA;NA;NA
"341";2019-10-25;4;NA;NA;NA
"342";2019-10-25;5;NA;NA;NA
"343";2019-10-25;6;NA;NA;NA
"344";2019-10-25;7;NA;NA;NA
"345";2019-10-25;8;NA;NA;NA
"346";2019-10-25;9;NA;NA;NA
"347";2019-10-25;10;"2019-10-25 10:00:00.000";370;17
"348";2019-10-25;11;"2019-10-25 11:00:00.000";370;25
"349";2019-10-25;12;"2019-10-25 12:00:00.000";370;27
"350";2019-10-25;13;"2019-10-25 13:00:00.000";370;30
"351";2019-10-25;14;"2019-10-25 14:00:00.000";370;27
"352";2019-10-25;15;"2019-10-25 15:00:00.000";370;29
"353";2019-10-25;16;"2019-10-25 16:00:00.000";370;28
"354";2019-10-25;17;"2019-10-25 17:00:00.000";370;27
"355";2019-10-25;18;"2019-10-25 18:00:00.000";370;46
"356";2019-10-25;19;"2019-10-25 19:00:00.000";370;45
"357";2019-10-25;20;"2019-10-25 20:00:00.000";370;3
"358";2019-10-25;21;NA;NA;NA
"359";2019-10-25;22;NA;NA;NA
"360";2019-10-25;23;NA;NA;NA
"361";2019-10-26;0;NA;NA;NA
"362";2019-10-26;1;NA;NA;NA
"363";2019-10-26;2;NA;NA;NA
"364";2019-10-26;3;NA;NA;NA
"365";2019-10-26;4;NA;NA;NA
"366";2019-10-26;5;NA;NA;NA
"367";2019-10-26;6;NA;NA;NA
"368";2019-10-26;7;NA;NA;NA
"369";2019-10-26;8;NA;NA;NA
"370";2019-10-26;9;NA;NA;NA
"371";2019-10-26;10;"2019-10-26 10:00:00.000";370;53
"372";2019-10-26;11;"2019-10-26 11:00:00.000";370;48
"373";2019-10-26;12;"2019-10-26 12:00:00.000";370;50
"374";2019-10-26;13;"2019-10-26 13:00:00.000";370;45
"375";2019-10-26;14;"2019-10-26 14:00:00.000";370;63
"376";2019-10-26;15;"2019-10-26 15:00:00.000";370;61
"377";2019-10-26;16;"2019-10-26 16:00:00.000";370;53
"378";2019-10-26;17;"2019-10-26 17:00:00.000";370;43
"379";2019-10-26;18;"2019-10-26 18:00:00.000";370;37
"380";2019-10-26;19;"2019-10-26 19:00:00.000";370;28
"381";2019-10-26;20;"2019-10-26 20:00:00.000";370;3
"382";2019-10-26;21;NA;NA;NA
"383";2019-10-26;22;NA;NA;NA
"384";2019-10-26;23;NA;NA;NA
"385";2019-10-27;0;NA;NA;NA
"386";2019-10-27;1;NA;NA;NA
"387";2019-10-27;2;NA;NA;NA
"388";2019-10-27;3;NA;NA;NA
"389";2019-10-27;4;NA;NA;NA
"390";2019-10-27;5;NA;NA;NA
"391";2019-10-27;6;NA;NA;NA
"392";2019-10-27;7;NA;NA;NA
"393";2019-10-27;8;NA;NA;NA
"394";2019-10-27;9;NA;NA;NA
"395";2019-10-27;10;"2019-10-27 10:00:00.000";370;47
"396";2019-10-27;11;"2019-10-27 11:00:00.000";370;41
"397";2019-10-27;12;"2019-10-27 12:00:00.000";370;46
